"","Taxa","January","February","March","April","May","June","July","August","September","October","November","December","Total"
"357","Oarisma poweshiek",0,0,0,0,0,0,0,1,0,0,0,0,1
"358","Papilio multicaudata",7,134,18,17,31,27,46,52,55,16,3,4,446
"359","Papilio polyxenes",40,59,113,206,254,208,289,383,306,141,39,37,2195
"360","Papilio canadensis",4,17,14,13,30,190,45,41,9,11,2,5,392
"361","Papilio glaucus",36,82,190,333,304,338,573,877,398,116,65,45,3498
"362","Papilio zelicaon",23,34,104,140,196,180,130,90,92,45,16,12,1098
"363","Battus philenor",22,53,134,286,276,193,242,301,283,275,75,44,2296
"364","Papilio troilus",10,26,37,57,119,130,192,337,148,48,22,20,1187
"365","Papilio palamedes",5,11,24,25,18,18,22,51,41,26,9,6,259
"366","Papilio thoas",1,1,0,4,5,2,4,5,1,23,4,1,53
"367","Papilio cresphontes",7,21,32,43,27,47,51,135,107,571,16,10,1077
"368","Papilio appalachiensis",0,0,1,0,0,0,0,0,0,0,0,0,3
"369","Papilio garamas",33,6,6,6,4,5,4,10,5,16,3,1,113
"370","Papilio rutulus",15,18,42,105,108,215,232,122,67,26,24,4,1012
"371","Papilio eurymedon",8,7,32,83,91,145,97,33,11,10,10,3,542
"372","Papilio rumiko",6,6,18,36,18,19,38,45,42,298,15,11,577
"373","Eurytides marcellus",2,19,27,71,47,89,50,52,26,17,5,5,413
"374","Papilio indra",0,0,0,1,2,7,4,2,2,1,0,0,19
"375","Parnassius clodius",3,2,2,0,2,13,29,22,5,1,1,1,81
"376","Battus polydamas",12,6,4,8,7,10,18,17,20,11,5,6,124
"377","Eurytides philolaus",0,0,0,0,0,2,6,0,1,0,0,0,11
"378","Papilio pilumnus",0,1,2,1,2,3,4,4,3,6,1,1,30
"379","Papilio astyalus",1,0,0,0,0,2,2,1,0,2,0,0,8
"380","Papilio machaon",8,12,15,47,52,47,63,69,64,25,21,7,445
"381","Protographium epidaus",2,1,0,1,0,7,3,2,1,0,0,1,19
"382","Parnassius smintheus",3,0,7,0,1,7,11,9,7,4,2,1,52
"383","Papilio rogeri",0,1,0,1,0,1,0,0,1,3,0,0,9
"384","Protesilaus protesilaus",0,0,0,0,1,1,0,0,0,1,0,0,3
"385","Papilio ornythion",0,0,0,1,0,1,0,4,0,8,0,0,14
"386","Papilio anchisiades",1,1,2,0,0,2,2,0,1,16,0,1,27
"387","Mimoides thymbraeus",0,0,0,1,1,1,1,2,0,0,1,0,7
"388","Papilio torquatus",0,0,0,0,0,0,1,0,0,0,0,0,1
"389","Papilio victorinus",0,0,0,0,0,0,0,2,0,0,2,1,6
"390","Parides photinus",7,2,5,12,8,4,7,4,8,5,6,11,81
"391","Battus laodamas",0,0,0,0,0,0,1,0,0,0,0,0,1
"392","Parides alopius",0,0,1,1,2,0,0,5,2,0,1,0,12
"393","Parides montezuma",0,1,3,1,1,1,3,6,5,3,1,1,27
"394","Papilio xuthus",3,0,2,1,4,1,3,5,5,3,4,5,36
"395","Papilio erostratus",0,3,0,0,0,1,0,1,0,2,0,0,8
"396","Papilio brevicauda",0,0,2,3,0,2,0,1,0,1,0,0,9
"397","Protographium agesilaus",0,0,0,0,0,0,2,2,0,0,0,0,4
"398","Papilio abderus",0,0,0,1,0,0,0,0,0,1,1,0,3
"399","Battus ingenuus",0,0,0,0,0,0,0,1,0,1,0,0,2
"400","Parides erithalion",0,0,0,1,0,0,1,1,3,0,1,0,7
"401","Eurytides epidaus",0,0,0,5,1,0,5,0,0,1,1,0,14
"402","Parides iphidamas",0,0,0,0,1,0,0,0,1,0,0,0,2
"403","Mimoides ilus",0,0,0,0,0,1,0,1,0,0,0,0,2
"404","Papilio aristodemus",0,0,0,0,0,0,0,5,0,0,0,0,5
"405","Eurytides thyastes",0,1,0,0,0,0,0,0,0,0,0,0,2
"406","Parnassius behrii",0,0,2,0,0,1,1,0,3,0,0,0,7
"407","Papilio androgeus",0,0,0,1,0,0,2,2,1,0,0,0,6
"408","Papilio pallas",0,0,0,0,0,0,0,0,0,1,0,1,3
"409","Parnassius phoebus",0,1,0,1,0,2,5,3,0,2,0,1,15
"410","Heraclides cresphontes",0,0,0,0,0,0,0,0,1,0,0,0,1
"411","Parnassius eversmanni",0,1,0,0,0,0,0,0,0,0,0,0,1
"412","Mimoides phaon",0,0,0,0,0,1,0,0,0,0,0,0,1
"413","Baronia brevicornis",0,0,0,0,0,1,1,0,0,1,0,0,3
"414","Eurytides salvini",0,0,0,0,0,0,1,0,0,0,0,1,2
"415","Pieris virginiensis",1,3,2,20,20,3,0,0,2,0,1,0,53
"416","Colias eurytheme",38,110,119,187,118,148,158,211,245,320,108,67,1855
"417","Pontia protodice",15,32,77,168,153,167,181,112,88,61,45,23,1138
"418","Colias interior",1,0,0,0,0,3,19,3,3,1,0,1,32
"419","Phoebis agarithe",11,10,9,19,9,14,26,16,44,53,47,31,296
"420","Colias philodice",7,22,22,25,26,36,93,110,166,108,23,12,656
"421","Euchloe ausonides",0,1,16,16,21,15,3,0,1,2,0,1,76
"422","Pieris rapae",80,105,254,328,360,545,628,546,521,514,123,43,4124
"423","Phoebis sennae",35,36,39,62,38,30,74,168,260,319,98,71,1269
"424","Kricogonia lyside",14,12,17,28,16,13,11,20,21,20,11,8,193
"425","Eurema boisduvaliana",1,1,0,2,2,1,2,0,2,2,4,3,20
"426","Pyrisitia proterpia",11,9,9,5,4,4,4,15,16,69,67,36,253
"427","Zerene cesonia",16,26,19,35,22,17,21,25,56,92,109,36,494
"428","Ascia monuste",31,23,28,46,32,32,56,39,28,30,52,30,435
"429","Itaballia demophile",1,0,0,1,0,1,0,0,1,0,0,0,4
"430","Dismorphia amphione",0,0,1,0,0,0,0,0,2,2,1,0,6
"431","Abaeis nicippe",16,22,28,45,57,51,65,167,104,111,57,33,767
"432","Ganyra josephina",2,1,1,5,2,6,9,4,2,5,3,14,54
"433","Eurema daira",9,4,8,12,6,14,20,20,9,15,10,17,147
"434","Anthocharis sara",2,50,119,133,75,24,11,5,3,4,5,2,441
"435","Nathalis iole",28,47,48,101,84,83,53,51,68,129,116,41,871
"436","Pieriballia viardi",0,1,2,2,1,0,0,1,2,2,0,1,14
"437","Pieris oleracea",2,4,5,5,35,23,25,7,6,3,2,1,121
"438","Pyrisitia lisa",22,15,15,31,50,67,83,102,115,184,122,53,873
"439","Pontia sisymbrii",1,4,6,5,7,5,0,1,0,0,0,0,29
"440","Colias alexandra",0,0,0,0,0,3,6,3,0,0,1,1,14
"441","Pieris marginalis",11,42,64,50,26,28,16,13,7,5,2,0,270
"442","Pontia beckerii",0,1,7,3,7,9,17,7,2,1,2,1,57
"443","Neophasia menapia",2,1,3,0,1,7,16,17,12,4,0,1,64
"444","Zerene eurydice",0,0,2,4,5,16,4,4,2,5,2,0,47
"445","Lieinix nemesis",0,0,0,2,0,0,0,0,0,0,1,0,5
"446","Anthocharis cethura",2,0,13,3,2,2,1,1,0,0,0,1,25
"447","Leptophobia aripa",2,1,9,8,7,12,14,8,9,26,14,10,137
"448","Anteos maerula",9,6,12,12,4,3,8,28,7,9,5,9,119
"449","Eurema mexicana",4,2,2,7,13,7,11,10,20,10,6,4,98
"450","Pieris angelika",0,1,0,0,0,3,3,0,0,0,0,0,7
"451","Prestonia clarki",0,1,0,1,2,1,2,3,0,0,0,0,10
"452","Catasticta teutila",2,1,2,4,0,1,4,4,5,4,1,2,34
"453","Pontia occidentalis",0,0,2,1,1,1,17,11,2,3,0,0,38
"454","Neophasia terlooii",0,0,0,0,0,1,1,1,0,2,0,0,5
"455","Anthocharis lanceolata",0,0,0,0,0,1,0,0,0,0,0,0,1
"456","Anteos clorinde",6,3,3,11,1,4,9,21,14,7,4,3,93
"457","Catasticta nimbice",12,8,5,4,3,4,11,11,17,24,22,28,177
"458","Euchloe hyantis",1,0,2,2,0,1,1,0,0,0,0,1,8
"459","Eurema salome",2,3,1,2,0,3,3,9,9,9,2,1,45
"460","Anthocharis midea",1,16,59,39,8,3,3,3,0,6,3,5,146
"461","Colias behrii",0,0,1,0,0,0,3,4,0,1,0,0,9
"462","Colias gigantea",0,0,0,0,0,0,1,0,0,0,0,0,1
"463","Pyrisitia nise",0,3,2,3,3,2,10,2,2,2,7,5,43
"464","Aphrissa statira",0,1,0,1,0,1,6,2,2,1,0,1,15
"465","Perrhybris pamela",0,0,0,0,0,0,0,1,0,0,0,0,1
"466","Glutophrissa drusilla",2,6,0,4,0,1,5,5,3,2,2,4,35
"467","Phoebis philea",6,4,6,4,3,1,7,11,14,12,14,4,90
"468","Phoebis argante",1,1,3,2,3,0,4,5,0,4,2,0,27
"469","Pyrisitia dina",0,1,0,1,1,0,5,2,1,2,0,1,14
"470","Rhabdodryas trite",0,0,0,0,0,1,0,0,0,1,4,0,6
"471","Melete lycimnia",2,0,0,2,1,0,0,0,0,0,2,2,9
"472","Colias harfordii",1,0,0,2,0,3,0,0,1,0,0,0,7
"473","Colias nastes",0,0,0,0,0,0,0,0,2,0,0,0,2
"474","Colias christina",0,0,0,0,0,0,0,0,1,1,0,0,2
"475","Enantia jethys",0,0,0,1,0,0,0,0,2,2,0,0,6
"476","Euchloe olympia",0,0,4,7,11,1,0,1,1,1,1,1,28
"477","Catasticta flisa",0,1,0,0,0,2,0,2,1,1,1,0,8
"478","Pereute charops",0,2,2,1,0,0,1,1,0,1,1,3,13
"479","Phoebis neocypris",0,2,1,2,0,0,0,0,1,2,0,1,10
"480","Colias palaeno",1,0,0,1,1,1,1,6,1,1,0,2,15
"481","Colias scudderii",0,0,0,0,0,0,0,0,0,0,0,1,1
"482","Enantia mazai",0,1,0,0,0,0,0,0,0,1,0,0,2
"483","Eucheira socialis",0,1,0,0,0,0,0,0,0,0,0,0,1
"484","Anthocharis limonea",0,0,0,1,1,0,1,1,0,0,0,0,4
"485","Eurema albula",0,0,0,1,0,0,2,0,0,0,0,0,3
"486","Colias meadii",0,0,1,0,0,0,1,6,2,0,0,0,10
"487","Ganyra howarthi",0,0,0,0,0,1,0,2,0,0,0,0,3
"488","Hesperocharis graphites",0,1,0,0,0,0,0,0,0,0,0,0,1
"489","Euchloe lotta",0,0,0,1,0,0,1,0,0,0,0,0,2
"490","Hesperocharis costaricensis",0,0,0,1,0,0,0,0,0,0,0,0,1
"491","Eurema xantochlora",0,0,0,0,0,2,0,0,0,0,0,0,2
"492","Ganyra phaloe",0,1,0,0,0,0,0,0,0,0,0,0,1
"493","Satyrium calanus",4,15,12,7,23,48,82,22,10,6,10,6,245
"494","Lycaena heteronea",0,0,0,0,0,4,19,13,0,0,0,2,38
"495","Icaricia shasta",0,0,0,1,0,0,1,0,0,0,0,11,13
"496","Lycaena gorgon",0,3,2,2,54,51,6,2,4,0,1,0,126
"497","Callophrys viridis",0,2,19,17,9,1,1,1,0,0,4,1,56
"498","Cupido comyntas",30,33,61,167,218,234,370,349,384,187,21,24,2101
"499","Celastrina neglecta",12,7,23,7,22,56,137,132,58,20,4,9,489
"500","Celastrina lucia",1,3,6,7,37,9,14,7,9,6,1,1,102
"501","Euphilotes bernardino",0,1,1,0,36,37,11,2,3,1,1,2,96
"502","Celastrina echo",8,45,104,88,120,142,46,23,16,15,7,32,660
"503","Celastrina ladon",3,4,19,58,54,21,4,4,4,3,2,0,177
"504","Cupido amyntula",1,1,9,4,7,16,19,9,3,1,1,1,73
"505","Callophrys johnsoni",0,0,0,1,0,2,2,1,0,0,0,0,6
"506","Callophrys irus",1,0,2,2,2,0,1,1,0,0,0,0,9
"507","Calycopis cecrops",16,20,41,51,61,70,74,124,139,78,17,5,703
"508","Strymon istapa",13,14,15,15,10,12,9,11,13,41,67,25,247
"509","Electrostrymon guzanta",0,1,0,0,0,1,1,2,2,0,0,0,7
"510","Hemiargus ceraunus",17,22,13,27,32,43,57,73,86,97,74,28,582
"511","Icaricia acmon",2,2,18,11,23,38,49,43,24,18,0,595,828
"512","Glaucopsyche lygdamus",5,20,102,73,55,119,37,14,11,9,10,4,466
"513","Callophrys dumetorum",1,5,72,50,9,8,7,0,0,1,0,3,160
"514","Brephidium exilis",46,19,44,51,43,51,74,66,132,127,81,27,767
"515","Strymon melinus",33,89,124,344,281,275,330,377,495,430,81,30,2946
"516","Satyrium californica",1,1,3,1,23,27,7,1,1,1,0,2,68
"517","Satyrium sylvinus",1,2,1,0,21,14,19,4,2,1,0,0,65
"518","Echinargus isola",22,15,55,105,136,116,75,87,66,53,29,23,789
"519","Callophrys augustinus",6,11,45,57,75,47,9,4,1,5,3,1,267
"520","Satyrium saepium",1,4,0,2,37,54,49,13,1,1,0,2,165
"521","Lycaena hyllus",5,11,3,5,5,29,33,28,40,15,3,5,184
"522","Lycaena phlaeas",16,16,23,54,60,87,109,99,137,94,15,13,731
"523","Leptotes marina",14,12,15,49,92,124,123,88,99,68,68,14,789
"524","Strymon cestri",0,0,2,2,0,3,0,2,0,0,0,0,9
"525","Callophrys eryphon",3,1,11,14,16,19,14,6,4,2,3,0,93
"526","Callophrys polios",0,0,1,9,9,3,0,2,1,1,0,0,26
"527","Ministrymon clytie",3,1,2,4,9,6,9,7,4,3,9,3,60
"528","Callophrys gryneus",9,38,79,90,70,27,42,27,37,20,1,7,452
"529","Erora laeta",0,0,0,0,2,2,1,1,0,0,0,1,7
"530","Satyrium kingi",1,0,0,0,0,2,1,2,0,0,0,0,6
"531","Satyrium edwardsii",1,0,1,0,0,23,33,4,5,0,0,1,68
"532","Feniseca tarquinius",8,2,4,7,12,26,17,22,16,4,3,2,125
"533","Eumaeus atala",9,2,9,9,2,9,6,5,2,2,3,1,64
"534","Callophrys niphon",5,7,4,23,47,14,4,6,4,5,1,1,121
"535","Atlides halesus",17,24,19,28,29,17,19,25,40,84,17,13,339
"536","Plebejus samuelis",0,0,0,1,0,7,3,5,1,2,0,4,23
"537","Plebejus melissa",2,0,9,2,2,12,24,19,12,4,0,29,115
"538","Lycaena mariposa",1,0,1,0,0,1,7,4,1,3,0,0,19
"539","Icaricia icarioides",1,0,14,4,7,13,26,17,1,0,0,95,179
"540","Satyrium tetra",1,2,2,0,8,19,9,3,0,1,1,0,46
"541","Callophrys spinetorum",0,4,2,1,3,8,10,5,2,2,0,1,38
"542","Callophrys henrici",2,17,34,29,26,3,3,2,5,3,1,3,130
"543","Parrhasius m-album",2,3,7,15,9,4,2,18,25,13,1,0,101
"544","Strymon albata",4,3,4,3,3,6,0,3,0,1,2,0,29
"545","Lycaena rubidus",1,2,4,0,0,2,19,18,2,0,0,1,50
"546","Lycaena arota",1,3,2,2,5,22,18,5,3,3,0,2,66
"547","Habrodais grunus",1,2,2,0,0,9,17,24,7,1,4,0,67
"548","Ministrymon leda",2,1,0,1,3,6,5,6,5,4,0,3,36
"549","Leptotes cassius",18,8,18,20,16,14,15,17,16,17,29,11,200
"550","Glaucopsyche piasus",0,0,3,1,0,4,10,0,1,0,0,0,19
"551","Strymon bebrycia",0,0,0,0,0,2,0,1,1,1,1,0,6
"552","Atlides gaumeri",3,0,0,3,0,2,1,0,0,1,0,4,14
"553","Brangas neora",4,0,0,3,0,1,4,0,0,0,0,2,14
"554","Rekoa zebina",0,0,0,0,0,1,0,0,0,0,0,0,1
"555","Thereus oppia",0,0,0,0,0,1,1,0,0,0,0,0,2
"556","Satyrium behrii",1,1,2,0,0,3,23,6,0,0,0,1,37
"557","Lycaena xanthoides",0,4,1,1,23,53,6,0,3,0,1,1,93
"558","Pseudolycaena damo",8,2,1,2,3,6,2,3,5,1,1,2,38
"559","Satyrium titus",3,2,9,1,2,7,49,17,7,2,1,2,102
"560","Satyrium liparops",3,4,5,6,1,9,43,19,3,2,4,4,103
"561","Calycopis isobeon",9,29,74,40,36,24,34,12,12,69,38,10,388
"562","Icaricia saepiolus",0,0,5,3,2,13,18,9,0,3,0,44,97
"563","Strymon bazochii",2,5,3,3,2,5,3,4,9,4,12,1,53
"564","Rekoa palegon",4,4,1,3,3,5,1,0,0,3,0,0,25
"565","Satyrium caryaevorus",0,1,2,2,0,3,16,2,1,0,0,7,36
"566","Arawacus jada",10,2,8,4,6,6,5,10,7,3,2,1,67
"567","Callophrys affinis",1,1,1,0,1,2,1,0,0,0,0,0,7
"568","Euphilotes enoptes",0,0,3,0,0,2,8,2,0,0,0,0,15
"569","Plebejus acmon",0,0,0,0,0,1,0,0,0,0,0,0,1
"570","Erora quaderna",0,0,0,4,0,2,0,1,0,0,0,1,8
"571","Lycaena epixanthe",1,1,3,1,1,9,16,2,3,2,1,1,41
"572","Celastrina humulus",0,0,0,0,0,1,0,0,0,0,0,0,1
"573","Panthiades bathildis",0,0,0,2,1,1,0,0,1,1,0,41,47
"574","Lycaena helloides",3,1,3,4,6,11,11,28,17,21,1,0,106
"575","Plebejus idas",0,2,0,0,1,1,6,3,6,3,6,2,30
"576","Agriades podarce",0,0,0,0,0,6,12,6,1,0,0,11,36
"577","Lycaena editha",1,0,1,1,0,3,18,21,2,1,0,0,48
"578","Lycaena cupreus",0,2,3,0,1,5,13,6,2,0,1,0,33
"579","Callophrys muiri",0,0,0,10,4,1,1,0,0,0,0,0,16
"580","Satyrium acadica",0,0,3,4,0,0,15,4,1,3,0,7,37
"581","Agriades glandon",0,3,6,3,0,0,4,5,3,1,0,6,31
"582","Lycaena dorcas",1,2,3,1,0,0,10,7,1,2,2,1,32
"583","Evenus regalis",1,1,2,0,1,0,3,3,1,1,0,0,14
"584","Phaeostrymon alcestis",0,1,1,3,41,4,3,0,0,0,0,1,54
"585","Euphilotes battoides",0,1,1,0,2,1,6,3,0,0,0,1,15
"586","Plebejus anna",0,0,1,0,0,0,7,6,1,0,2,0,17
"587","Lycaena dospassosi",0,0,2,0,0,0,2,0,1,0,0,1,6
"588","Rekoa meton",0,0,0,0,0,0,0,1,2,1,0,0,4
"589","Icaricia lupini",0,0,3,3,3,0,12,9,1,2,0,49,82
"590","Callophrys sheridanii",0,0,0,2,0,2,2,2,0,0,0,0,8
"591","Callophrys xami",3,2,3,3,3,0,3,3,4,5,1,3,36
"592","Zizina otis",3,3,2,3,7,10,2,7,10,10,6,7,70
"593","Satyrium favonius",2,1,1,7,23,1,0,3,0,1,0,7,47
"594","Arawacus sito",3,0,1,7,1,1,0,3,3,3,0,3,25
"595","Cyanophrys herodotus",2,0,2,1,0,2,3,2,1,1,2,2,18
"596","Ipidecla miadora",1,0,0,0,0,0,0,0,0,0,0,0,1
"597","Atlides polybe",5,0,1,1,0,0,0,1,0,2,0,0,11
"598","Chlorostrymon simaethis",4,2,3,1,2,1,3,3,0,1,22,6,48
"599","Theritas theocritus",0,1,0,1,0,0,0,0,0,0,0,0,2
"600","Gargina caninius",0,1,0,0,0,0,0,0,0,0,0,0,1
"601","Strymon yojoa",0,2,2,0,0,0,1,2,2,1,0,0,10
"602","Lampides boeticus",16,10,11,9,24,22,9,19,26,34,12,8,203
"603","Strymon rufofusca",0,2,3,6,5,0,0,1,1,2,2,1,23
"604","Eumaeus childrenae",2,2,3,4,4,1,2,6,8,5,2,0,42
"605","Cyanophrys longula",1,0,0,2,1,0,0,3,1,2,1,0,11
"606","Strymon mulucha",0,0,1,0,0,0,0,0,0,0,0,0,1
"607","Semonina semones",0,0,0,0,0,0,0,0,0,0,1,0,1
"608","Rekoa marius",0,0,0,3,0,0,1,2,1,3,11,1,22
"609","Satyrium auretorum",0,0,0,1,3,4,5,1,1,1,0,0,16
"610","Hypaurotis crysalus",0,1,2,0,1,1,5,4,0,0,0,1,15
"611","Callophrys loki",0,0,4,0,0,1,6,1,0,0,0,0,12
"612","Ostrinotes keila",0,0,0,0,0,0,0,0,0,0,2,0,2
"613","Euphilotes rita",1,0,0,0,0,0,0,1,0,0,0,0,2
"614","Parrhasius moctezuma",0,0,0,0,0,0,0,0,0,2,2,0,4
"615","Laothus erybathis",0,0,0,0,0,0,0,0,1,0,1,2,5
"616","Zizula cyna",0,3,1,2,1,1,3,3,2,2,1,1,20
"617","Strymon alea",0,0,1,0,1,1,0,1,0,3,1,1,10
"618","Electrostrymon hugon",0,2,3,3,2,0,0,0,1,1,0,3,15
"619","Contrafacia bassania",0,0,0,0,0,0,0,0,0,0,0,1,1
"620","Cyanophrys miserabilis",0,0,0,0,0,0,0,1,0,0,0,1,2
"621","Hemiargus hanno",0,1,0,0,0,0,1,1,2,2,1,1,9
"622","Aubergina hicetas",0,0,0,0,0,0,0,0,0,0,0,1,1
"623","Micandra cyda",1,1,0,0,0,0,0,0,0,0,0,0,2
"624","Brephidium pseudofea",1,0,2,1,1,0,2,0,1,0,0,6,15
"625","Celastrina serotina",3,0,0,0,0,0,0,0,0,0,0,0,3
"626","Polyommatus icarus",15,7,4,29,48,87,70,115,109,43,17,3,558
"627","Oenomaus ortygnus",0,1,0,0,0,0,0,0,0,0,0,0,1
"628","Celastrina neglectamajor",0,0,0,0,0,0,0,0,0,1,0,0,1
"629","Eumaeus toxea",1,1,3,3,0,0,0,5,4,2,0,0,20
"630","Atlides carpasia",0,0,0,0,1,0,0,0,1,0,0,0,3
"631","Philotes sonorensis",0,16,23,2,1,1,0,0,0,1,0,0,46
"632","Panthiades bitias",0,0,0,0,0,0,0,1,1,1,0,0,3
"633","Strymon echion",0,0,0,0,0,0,3,0,0,0,0,7,10
"634","Cyanophrys agricolor",0,0,0,0,1,1,0,1,0,0,0,0,3
"635","Calycopis demonassa",0,0,0,1,0,0,2,0,1,0,0,0,4
"636","Ministrymon phrutus",0,0,0,0,0,0,1,0,0,0,0,0,1
"637","Satyrium semiluna",0,0,0,0,0,0,2,0,1,0,0,1,4
"638","Lycaena nivalis",0,0,0,0,0,1,3,0,2,0,0,0,6
"639","Atlides inachus",0,0,0,0,0,0,1,0,0,0,0,0,1
"640","Euphilotes mojave",0,0,1,0,1,7,2,0,0,0,0,0,11
"641","Lycaena hermes",0,0,0,0,1,0,0,0,0,0,0,0,1
"642","Strymon martialis",0,0,3,1,1,1,0,1,1,0,0,2,10
"643","Strymon serapio",0,0,0,0,0,0,0,1,0,0,0,0,1
"644","Icaricia neurona",0,0,0,0,0,0,0,0,0,0,0,2,2
"645","Parrhasius polibetes",0,0,0,1,0,0,0,1,0,0,0,0,2
"646","Electrostrymon joya",0,0,0,0,0,0,0,0,0,0,0,1,1
"647","Euphilotes ancilla",0,0,0,0,0,0,0,2,0,0,0,1,3
"648","Callophrys fotis",0,0,0,1,0,0,0,0,0,0,0,0,1
"649","Callophrys rubi",1,4,7,16,27,18,3,8,12,0,1,0,98
"650","Ocaria thales",1,0,0,0,0,0,0,0,0,0,0,0,1
"651","Strymon avalona",0,0,0,0,3,0,0,0,0,0,0,0,3
"652","Callophrys mcfarlandi",0,2,3,1,2,1,1,0,1,1,0,0,12
"653","Udara blackburni",1,0,0,3,7,0,0,1,1,2,0,0,15
"654","Chlorostrymon telea",0,0,0,0,0,0,1,0,0,0,0,1,2
"655","Callophrys mossii",2,0,1,2,4,6,0,1,0,0,0,0,16
"656","Strymon solitario",1,0,0,0,0,1,0,0,0,0,0,0,2
"657","Cyanophrys goodsoni",0,0,0,1,0,0,0,0,0,0,0,0,1
"658","Euphilotes spaldingi",0,1,0,0,0,0,0,0,0,0,0,0,1
"659","Tmolus crolinus",0,0,0,0,1,0,0,0,0,0,0,0,1
"660","Paiwarria umbratus",0,0,0,0,2,0,0,0,0,0,0,0,2
"661","Strephonota tephraeus",0,0,0,2,0,0,0,1,0,0,0,0,3
"662","Ocaria ocrisia",0,0,1,0,0,0,0,0,0,0,0,1,2
"663","Cyanophrys amyntor",0,0,1,0,0,0,0,0,0,0,0,0,1
"664","Satyrium polingi",0,0,0,0,2,2,0,0,0,0,0,0,4
"665","Iaspis andersoni",0,0,0,0,0,0,0,0,0,1,0,0,1
"666","Strephonota syedra",0,0,0,0,0,0,0,0,0,1,0,0,1
"667","Calycopis pisis",0,0,0,0,0,0,0,1,0,1,0,0,2
"668","Calycopis trebula",0,0,0,0,0,0,0,0,0,1,0,0,1
"669","Arawacus togarna",0,0,0,0,0,0,0,0,1,1,0,0,2
"670","Agriades optilete",0,0,0,0,0,0,2,4,1,1,0,3,11
"671","Allosmaitia strophius",0,0,0,0,1,0,0,1,0,0,1,0,3
"672","Satyrium fuliginosa",0,0,0,0,0,0,0,1,0,0,0,2,3
"673","Electrostrymon angelia",0,0,0,1,0,0,0,3,0,1,0,0,5
"674","Ministrymon azia",1,0,0,1,0,2,0,1,0,1,0,0,6
"675","Apuecla maeonis",0,0,0,0,0,0,0,0,0,0,1,0,1
"676","Euphilotes pallescens",0,0,0,0,0,0,0,1,3,0,0,0,4
"677","Arcas imperialis",0,0,0,0,0,0,0,0,0,2,0,0,2
"678","Arcas cypria",0,0,0,0,0,1,0,1,1,0,0,0,3
"679","Tmolus cydrara",0,1,1,0,0,0,0,1,0,0,0,0,3
"680","Janthecla janthina",0,0,0,0,0,0,0,1,0,0,0,0,1
"681","Erora nitetis",0,0,0,0,0,0,0,2,0,0,0,0,2
"682","Callophrys guatemalena",0,0,0,0,0,0,0,1,0,0,0,0,1
"683","Lycaena dione",0,0,1,0,0,1,5,1,0,1,0,0,9
"684","Theritas augustinula",0,0,0,0,0,0,0,1,0,0,0,0,1
"685","Nicolaea velina",0,0,0,0,0,0,0,0,1,0,0,0,1
"686","Dicya carnica",0,1,0,0,0,0,0,0,0,0,0,0,1
"687","Callophrys lanoraieensis",0,0,1,0,0,0,0,0,0,0,0,0,1
"688","Strymon acis",0,0,1,0,1,0,0,0,0,0,1,0,3
"689","Michaelus ira",0,0,1,0,0,0,0,1,0,0,0,0,2
"690","Strymon megarus",0,0,1,0,0,0,0,0,0,0,0,0,1
"691","Ziegleria ceromia",0,0,0,0,0,0,0,0,2,0,0,0,2
"692","Euphilotes ellisii",0,0,0,0,0,0,0,0,0,0,0,1,1
"693","Theclopsis mycon",2,0,0,0,0,0,0,0,0,0,0,0,2
"694","Calephelis nemesis",4,10,12,16,13,14,15,21,23,26,28,1,184
"695","Caria ino",3,6,4,6,8,4,5,5,7,14,22,2,86
"696","Apodemia mormo",0,4,3,4,5,5,4,29,28,28,2,1,114
"697","Melanis cephise",1,3,2,9,0,4,13,6,5,16,3,8,70
"698","Apodemia virgulti",4,1,21,33,27,17,24,14,35,17,5,1,205
"699","Hypophylla zeurippa",0,0,0,3,6,4,1,0,2,5,0,0,21
"700","Pirascca tyriotes",2,0,0,0,0,1,0,0,0,0,0,0,3
"701","Emesis zela",0,1,0,5,1,1,2,4,2,3,2,1,23
"702","Emesis emesia",7,5,6,10,4,6,3,5,8,9,11,2,79
"703","Calephelis virginiensis",2,1,1,1,2,2,2,4,2,5,0,0,22
"704","Apodemia palmerii",2,2,1,1,5,1,4,12,9,7,0,0,45
"705","Calephelis velutina",0,0,1,0,0,3,0,0,1,0,0,0,5
"706","Baeotis zonata",0,0,0,1,0,2,1,0,1,0,0,0,8
"707","Anteros carausius",6,1,2,4,0,3,6,5,3,3,8,10,51
"708","Calephelis arizonensis",0,0,0,1,0,1,1,5,1,2,0,1,12
"709","Melanis pixe",9,3,4,2,6,6,7,14,11,8,23,7,105
"710","Apodemia nais",0,0,0,0,0,2,2,1,0,0,0,0,5
"711","Calephelis borealis",0,0,0,0,3,4,6,0,1,0,0,0,14
"712","Rhetus arcius",1,0,1,0,0,1,4,4,1,3,1,0,19
"713","Thisbe lycorias",0,0,2,2,1,0,3,2,1,1,0,1,14
"714","Apodemia duryi",0,0,0,0,0,0,1,0,0,1,0,0,2
"715","Emesis tenedia",0,1,1,2,0,1,1,1,1,2,0,1,11
"716","Calydna sturnula",0,0,0,0,0,0,0,2,0,0,1,0,4
"717","Lasaia sula",3,2,0,3,2,3,2,2,1,8,11,23,61
"718","Detritivora barnesi",2,0,0,1,0,0,2,1,1,3,0,0,11
"719","Synargis mycone",0,0,0,1,0,0,2,2,1,2,0,0,8
